label	query
Abkhaz	Abkhazia
Abkhazian	Abkhazia
Afghan	Afghanistan
Albanian	Albania
Algerian	Algeria
American Samoan	American Samoa
Andorran	Andorra
Angolan	Angola
Anguillan	Anguilla
Antiguan	Antigua and Barbuda
Barbudan	Antigua and Barbuda
Argentine	Argentina
Argentinean	Argentina
Argentinian	Argentina
Armenian	Armenia
Aruban	Aruba
Australian	Australia
Austrian	Austria
Azerbaijani	Azerbaijan
Azeri	Azerbaijan
Bahamian	Bahamas
Bahraini	Bahrain
Bangladeshi	Bangladesh
Barbadian	Barbados
Bajan	Barbados
Belarusian	Belarus
Belgian	Belgium
Belizean	Belize
Beninese	Benin
Beninois	Benin
Bermudian	Bermuda
Bermudan	Bermuda
Bhutanese	Bhutan
Bolivian	Bolivia
Bosnian	Bosnia and Herzegovina
Bosniak	Bosnia and Herzegovina
Herzegovinian	Bosnia and Herzegovina
Motswana	Botswana
Batswana	Botswana
Botswanan	Botswana
Brazilian	Brazil
British Virgin Island	British Virgin Islands
Bruneian	Brunei
Bulgarian	Bulgaria
Burkinabè	Burkina Faso
Burkinabe	Burkina Faso
Burkinabé	Burkina Faso
Burmese	Burma
Burundian	Burundi
Cambodian	Cambodia
Cameroonian	Cameroon
Canadian	Canada
Caymanian	Cayman Islands
Central African	Central African Republic
Chadian	Chad
Chilean	Chile
Christmas Island	Christmas Island
Cocos Island	Cocos (Keeling) Islands
Colombian	Colombia
Comorian	Comoros
Cook Island	Cook Islands
Cook Islands	Cook Islands
Costa Rican	Costa Rica
Croatian	Croatia
Cuban	Cuba
Cypriot	Cyprus
Czech	Czech Republic
Ivorian	Côte d'Ivoire
Congolese	Democratic Republic of the Congo
Congo	Democratic Republic of the Congo
Danish	Denmark
Djiboutian	Djibouti
Dominican	Dominica
Dominican	Dominican Republic
Timorese	East Timor
Ecuadorian	Ecuador
Egyptian	Egypt
Salvadoran	El Salvador
English	England
Equatorial Guinean	Equatorial Guinea
