Abkhazians	query=Abkhazia
Afghans	query=Afghanistan
Albanians	query=Albania
Algerians	query=Algeria
American Samoans	query=American Samoa
Andorrans	query=Andorra
Angolans	query=Angola
Anguillans	query=Anguilla
Antiguans	query=Antigua and Barbuda
Barbudans	query=Antigua and Barbuda
Argentines	query=Argentina
Argentineans	query=Argentina
Argentinians	query=Argentina
Armenians	query=Armenia
Arubans	query=Aruba
Australians	query=Australia
Austrians	query=Austria
Azerbaijanis	query=Azerbaijan
Azeris	query=Azerbaijan
Bahamians	query=Bahamas
Bahrainis	query=Bahrain
Bangladeshis	query=Bangladesh
Barbadians	query=Barbados
Belarusians	query=Belarus
Belgians	query=Belgium
Belizeans	query=Belize
Beninese	query=Benin
Beninois	query=Benin
Bermudians	query=Bermuda
Bermudans	query=Bermuda
Bhutanese	query=Bhutan
Bolivians	query=Bolivia
Bosnians	query=Bosnia and Herzegovina
Bosniaks	query=Bosnia and Herzegovina
Herzegovinians	query=Bosnia and Herzegovina
Batswana	query=Botswana
Botswanans	query=Botswana
Brazilians	query=Brazil
British Virgin Islanders	query=British Virgin Islands
Bruneians	query=Brunei
Bulgarians	query=Bulgaria
Burkinabè	query=Burkina Faso
Burkinabé	query=Burkina Faso
Bamar	query=Burma
Burmese	query=Burma
Burundians	query=Burundi
Cambodians	query=Cambodia
Cameroonians	query=Cameroon
Canadians	query=Canada
Caymanians	query=Cayman Islands
Central Africans	query=Central African Republic
Chadians	query=Chad
Chileans	query=Chile
Christmas Islanders	query=Christmas Island
Cocos Islanders	query=Cocos (Keeling) Islands
Colombians	query=Colombia
Comorians	query=Comoros
Cook Islanders	query=Cook Islands
Costa Ricans	query=Costa Rica
Croatians	query=Croatia
Croats	query=Croatia
Cubans	query=Cuba
Cypriots	query=Cyprus
Czechs	query=Czech Republic
Ivorians	query=Côte d'Ivoire
Congolese	query=Democratic Republic of the Congo
Dane	query=Denmark
Danes	query=Denmark
Djiboutians	query=Djibouti
Dominicans	query=Dominica
Dominicans	query=Dominican Republic
Timorese	query=East Timor
Ecuadorians	query=Ecuador
Egyptians	query=Egypt
Salvadorans	query=El Salvador
English	query=England
Equatorial Guineans	query=Equatorial Guinea
Equatoguineans	query=Equatorial Guinea
Eritreans	query=Eritrea
Estonians	query=Estonia
Ethiopians	query=Ethiopia
Falkland Islanders	query=Falkland Islands
Faroese	query=Faroe Islands
Fijians	query=Fiji
Finn	query=Finland
Finns	query=Finland
French	query=France
Frenchman	query=France
Frenchwoman	query=France
Frenchmen	query=France
Frenchwomen	query=France
French Guianese	query=French Guiana
French Polynesians	query=French Polynesia
Tahitians	query=French Polynesia
Gabonese	query=Gabon
Gambians	query=Gambia
Georgians	query=Georgia
Germans	query=Germany
Ghanaians	query=Ghana
Gibraltarians	query=Gibraltar
Briton	query=Great Britain
Britons	query=Great Britain
Greeks	query=Greece
Grecians	query=Greece
Hellene	query=Greece
Hellenes	query=Greece
Greenlander	query=Greenland
Greenlanders	query=Greenland
Grenadians	query=Grenada
Guadeloupians	query=Guadeloupe
Guamanians	query=Guam
Guatemalans	query=Guatemala
Guineans	query=Guinea
Guineans	query=Guinea-Bissau
Guyanese	query=Guyana
Haitians	query=Haiti
Hondurans	query=Honduras
Hongkonger	query=Hong Kong
Hongkongers	query=Hong Kong
Hongkongese	query=Hong Kong
Hungarians	query=Hungary
Magyars	query=Hungary
Icelander	query=Iceland
Icelanders	query=Iceland
Indians	query=India
Indonesians	query=Indonesia
Iranians	query=Iran
Persians	query=Iran
Iraqis	query=Iraq
Irish	query=Ireland
Manx	query=Isle of Man
Israelis	query=Israel
Italians	query=Italy
Italics	query=Italy
Jamaicans	query=Jamaica
Japanese	query=Japan
Jordanians	query=Jordan
Kazakhstanis	query=Kazakhstan
Kazakhs	query=Kazakhstan
Kenyans	query=Kenya
I-Kiribati	query=Kiribati
Kosovars	query=Kosovo
Kuwaitis	query=Kuwait
Kyrgyzstanis	query=Kyrgyzstan
Kyrgyz	query=Kyrgyzstan
Kirgiz	query=Kyrgyzstan
Kirghiz	query=Kyrgyzstan
Laotians	query=Laos
Laos	query=Laos
Latvians	query=Latvia
Letts	query=Latvia
Lebanese	query=Lebanon
Basotho	query=Lesotho
Liberians	query=Liberia
Libyans	query=Libya
Liechtensteiner	query=Liechtenstein
Liechtensteiners	query=Liechtenstein
Lithuanians	query=Lithuania
Luxembourger	query=Luxembourg
Luxembourgers	query=Luxembourg
Macanese	query=Macau
Chinese	query=Macau
Malagasy	query=Madagascar
Malawians	query=Malawi
Malaysians	query=Malaysia
Maldivians	query=Maldives
Malians	query=Mali
Maltese	query=Malta
Marshallese	query=Marshall Islands
Martiniquais	query=Martinique
Martiniquaise	query=Martinique
Mauritanians	query=Mauritania
Mauritians	query=Mauritius
Mahorais	query=Mayotte
Mahoraise	query=Mayotte
Mexicans	query=Mexico
Micronesians	query=Micronesia
Moldovans	query=Moldova
Monégasques	query=Monaco
Monacans	query=Monaco
Mongolians	query=Mongolia
Mongols	query=Mongolia
Montenegrins	query=Montenegro
Montserratians	query=Montserrat
Moroccans	query=Morocco
Mozambicans	query=Mozambique
Namibians	query=Namibia
Nauruans	query=Nauru
Nepalese	query=Nepal
Nepali	query=Nepal
Dutch	query=Netherlands
New Caledonians	query=New Caledonia
New Zealander	query=New Zealand
New Zealanders	query=New Zealand
Nicaraguans	query=Nicaragua
Nigeriens	query=Niger
Nigeriennes	query=Niger
Nigerians	query=Nigeria
Niueans	query=Niue
Koreans	query=North Korea
Northern Irish	query=Northern Ireland
Northern Marianans	query=Northern Marianas
Norwegians	query=Norway
Omanis	query=Oman
Pakistanis	query=Pakistan
Palauans	query=Palau
Palestinians	query=Palestine
Panamanians	query=Panama
Papua New Guineans	query=Papua New Guinea
Papuans	query=Papua New Guinea
Paraguayans	query=Paraguay
Chinese	query=People's Republic of China
Peruvians	query=Peru
Filipinos	query=Philippines
Filipinas	query=Philippines
Pitcairn Islanders	query=Pitcairn Island
Pole	query=Poland
Poles	query=Poland
Portuguese	query=Portugal
Puerto Ricans	query=Puerto Rico
Boricuas	query=Puerto Rico
Qataris	query=Qatar
Chinese	query=Republic of China
Irish	query=Republic of Ireland
Southern Irish	query=Republic of Ireland
Macedonians	query=Republic of Macedonia
Congolese	query=Republic of the Congo
Romanians	query=Romania
Russians	query=Russia
Rwandans	query=Rwanda
Réunionese	query=Réunion
Réunionnais	query=Réunion
Réunionnaise	query=Réunion
Reunionese	query=Réunion
Saint-Pierrais	query=Saint-Pierre and Miquelon
Saint-Pierraise	query=Saint-Pierre and Miquelon
Miquelonnais	query=Saint-Pierre and Miquelon
Miquelonnaise	query=Saint-Pierre and Miquelon
Samoans	query=Samoa
Sammarinese	query=San Marino
Saudis	query=Saudi Arabia
Saudi Arabians	query=Saudi Arabia
Scots	query=Scotland
Scotsmen	query=Scotland
Scotswomen	query=Scotland
Senegalese	query=Senegal
Serbs	query=Serbia
Serbians	query=Serbia
Seychellois	query=Seychelles
Sierra Leoneans	query=Sierra Leone
Singaporeans	query=Singapore
Slovaks	query=Slovakia
Slovenians	query=Slovenia
Slovenes	query=Slovenia
Solomon Islander	query=Solomon Islands
Solomon Islanders	query=Solomon Islands
Somalis	query=Somalia
Somalians	query=Somalia
South Africans	query=South Africa
Koreans	query=South Korea
South Ossetians	query=South Ossetia
South Sudanese	query=South Sudan
Spaniard	query=Spain
Spaniards	query=Spain
Sri Lankans	query=Sri Lanka
St. Helenians	query=St. Helena
St Helenians	query=St. Helena
Kittitians	query=St. Kitts and Nevis
Nevisians	query=St. Kitts and Nevis
St. Lucians	query=St. Lucia
St Lucians	query=St. Lucia
St. Vincentians	query=St. Vincent and the Grenadines
St Vincentians	query=St. Vincent and the Grenadines
Vincentians	query=St. Vincent and the Grenadines
Sudanese	query=Sudan
Surinamer	query=Surinam
Surinamers	query=Surinam
Swazis	query=Swaziland
Swede	query=Sweden
Swedes	query=Sweden
Swiss	query=Switzerland
Syrians	query=Syria
São Toméans	query=São Tomé and Príncipe
Sao Tomeans	query=São Tomé and Príncipe
Taiwanese	query=Taiwan
